episode,rewards_total
588,23.8056231503
589,23.8056429542
590,23.8056368266
591,23.8056482806
592,23.8056370341
593,23.8056498482
594,23.8056499803
595,23.8056280911
596,23.8056338193
597,23.8056403646
598,23.8056483073
599,23.8056361004
600,23.8056227611
601,23.8056466098
602,23.8056430035
603,23.805607094
604,23.8056546572
605,23.8056115861
606,23.8056413338
607,23.805621013
608,23.8056464106
609,23.8056579243
610,23.8056565497
611,23.8056352757
612,23.8056502399
613,23.805635299
614,23.8056320294
615,23.8056550572
616,23.8056466036
617,23.805642068
618,23.8056193925
619,23.8056499161
620,23.8056440265
621,23.805644354
622,23.8056076661
623,23.8056357778
624,23.8056443034
625,23.8055731662
626,23.8056519965
627,23.8056362294
628,23.8056335843
629,23.8056426273
630,23.8056471742
631,23.805639831
632,23.8056269382
633,23.8056449002
634,23.8056192964
635,23.8056260511
636,23.8056494196
637,23.8056528277
638,23.8056438952
639,23.8056381555
640,23.8056305701
641,23.8056402293
642,23.8056570733
643,23.8056421658
644,23.8056342974
645,23.805634215
646,23.805628299
647,23.8056400819
648,23.8056203425
649,23.8056383117
650,23.8056358316
651,23.8056478281
652,23.8056215562
653,23.8056509656
654,23.8056514995
655,23.8056258462
656,23.8056311532
657,23.8056387467
658,23.8056188179
659,23.8056444079
660,23.8056469484
661,23.8056393065
662,23.8056209299
663,23.8056405602
664,23.8056317935
665,23.8056503868
666,23.8056529565
667,23.8056466897
668,23.8056438508
669,23.8056468623
670,23.8056429044
671,23.8056425476
672,23.8056363594
673,23.8056189703
674,23.8056485536
675,23.8056804913
676,23.8056504707
677,23.805601673
678,23.8056406698
679,23.8056461294
680,23.8056510655
681,23.8056558534
682,23.805650912
683,23.8056637971
684,23.8056470672
685,23.8056202211
686,23.8056554016
687,23.8056406078
688,23.8056288334
689,23.8056506155
690,23.805592645
691,23.8056166391
692,23.8056393548
693,23.8057575915
694,23.8056637786
695,23.8056458125
696,23.8056552409
697,23.8056796576
698,23.8056477439
699,23.8056501451
700,23.8056654045
701,23.8056284833
702,23.8057154195
703,23.805638475
704,23.8057608593
705,23.8056341703
706,23.8056277468
707,23.8056179496
708,23.8056308901
709,23.805737907
710,23.8056380592
711,23.8056611584
712,23.8056779137
713,23.8056451142
714,23.8056609428
715,23.8056403143
716,23.8056520776
717,23.8056480322
718,23.8056406382
719,23.805655451
720,23.8056000313
721,23.8056760334
722,23.8056437553
723,23.8056191964
724,23.8056530137
725,23.8056548211
726,23.8056348803
727,23.805646473
728,23.8056364785
729,23.8056232944
730,23.8056501789
731,23.8056553974
732,23.8056640095
733,23.805641839
734,23.8055857623
735,23.805654215
736,23.8056452839
737,23.8056401733
738,23.8056524471
739,23.8056426336
740,23.8056426125
741,23.8056531912
742,23.8056436686
743,23.8056275332
744,23.8056464137
745,23.805644368
746,23.8056332951
747,23.8056485577
748,23.8056475909
749,23.8056405228
750,23.8056302352
751,23.8056334088
752,23.8056192688
753,23.8056464973
754,23.8056407516
755,23.8056334261
756,23.8056493665
757,23.8056476412
758,23.8056159623
759,23.8056100053
760,23.8056312925
761,23.805658852
762,23.8056456576
763,23.8056343223
764,23.8056615815
765,23.8055843971
766,23.8056483374
767,23.8056330602
768,23.8056046861
769,23.8056244312
770,23.805624159
771,23.8056372975
772,23.8056286972
773,23.8056444064
774,23.8056415016
775,23.8056436937
776,23.8056144202
777,23.805666042
778,23.8056537989
779,23.8056098391
780,23.8056611543
781,23.8056291527
782,23.8056381734
783,23.805616124
784,23.8056444634
785,23.8056475025
786,23.8056326519
787,23.8056499367
788,23.8056054911
789,23.8056355882
790,23.8056326483
791,23.8056468592
792,23.8056301862
793,23.8056064891
794,23.8056408726
795,23.805625594
796,23.8056473249
797,23.8056483712
798,23.8056491592
799,23.8056321178
800,23.8056413958
801,23.8056242026
802,23.8056537767
803,23.805680202
804,23.8056393557
805,23.8056360161
806,23.8056431584
807,20.26862857
808,19.0831811754
809,19.9069348948
810,21.7262911092
811,20.8188771018
812,22.9880387295
813,23.8056452285
814,19.8067299144
815,17.2557260653
816,20.7836331346
817,23.8056520409
818,23.8056705982
819,23.8001511315
820,20.495468474
821,17.599494977
822,21.340929908
823,16.0250767484
824,20.812291142
825,19.5533811096
826,23.8056334993
827,23.8055886756
828,19.87029928
829,19.2460262039
830,19.7092472359
831,23.8056460577
832,23.805648327
833,23.8056168722
834,23.8056484234
835,23.8056397044
836,23.8056286996
837,23.8056178081
838,23.8056377468
839,23.805651135
840,23.8056511006
841,23.8056502816
842,23.805649445
843,23.8056268504
844,23.8056193404
845,23.8055982186
846,23.805636096
847,23.8056340698
848,23.8056364648
849,23.8055699633
850,23.8056483043
851,23.8056475727
852,23.8056400521
853,23.8056129205
854,23.80561394
855,23.8056336499
856,23.8056329012
857,23.8056492612
858,23.8056448302
859,23.8056439663
860,23.8056411077
861,23.8056446313
862,23.8056246005
863,23.8056361018
864,18.7395962082
865,20.5189831244
866,20.4022277402
867,20.2838823481
868,20.4076383193
869,20.4848607604
870,20.364134376
871,20.5432038556
872,20.3946375356
873,20.252206814
874,20.4467865735
875,20.4665966678
876,20.5598079345
877,20.2563734407
878,20.3100761413
879,20.3664196222
880,20.3727956573
881,20.3858020866
882,20.4678622103
883,20.4142037364
884,20.5779547042
885,20.420439981
886,20.514170984
887,20.4974790244
888,20.4801391995
889,20.2357007082
890,20.4745211981
891,20.352223067
892,20.3761694887
893,20.3823533388
894,20.523842426
895,20.4876241016
896,20.4543577181
897,20.563208815
898,20.3403008914
899,20.5499604981
900,20.5567201411
901,20.5216216999
902,20.4123800774
903,24.3088136824
904,-47.5935697438
905,20.5787260283
906,20.4793440449
907,20.370828532
908,20.5641379632
909,20.6602901583
910,20.3230130245
911,20.647015696
912,20.3291454056
913,20.2174921289
914,20.3959366162
915,20.4382926269
916,20.5016105548
917,19.9000592652
918,19.8191566915
919,20.2170563212
920,19.5911746595
921,20.3227088393
922,20.6121580756
923,21.2597564163
924,20.8065522357
925,20.4034713146
926,20.5952961525
927,21.1948489168
928,20.8160395121
929,20.0510152805
930,20.8224258014
931,20.85432272
932,19.7725160559
933,20.2273676162
934,20.3483390143
935,20.0596804899
936,20.585262652
937,20.7292865969
938,20.1972231465
939,21.0660906708
940,21.2365192233
941,20.2072827646
942,20.2872373164
943,20.5181444302
944,20.3364213668
945,20.0644305594
946,20.594470295
947,20.0822458495
948,20.5105880064
949,20.1391425478
950,20.3294949835
951,19.499962614
952,20.4770986581
953,20.641249147
954,20.063486938
955,19.954947873
956,19.9482589022
957,19.9544601478
958,20.4332865502
959,20.8260638362
960,21.101782023
961,20.7495926722
962,20.3099220479
963,20.3805519308
964,19.9604474751
965,20.378471538
966,20.3163388101
967,20.50283338
968,20.5606038774
969,20.3291834038
970,20.3792160553
971,20.299551544
972,20.2701528067
973,20.6256353765
974,20.2894755378
975,20.1975821695
976,20.5662410767
977,20.6693833579
978,20.0663937386
979,20.0077095369
980,19.8310387959
981,20.2155592789
982,20.8640356223
983,20.5713284701
984,20.4115502952
985,20.3862619021
986,20.5940258989
987,20.3927823147
988,20.145034666
989,20.0883459064
990,20.5352436373
991,20.6305358913
992,20.3946530808
993,20.3414558924
994,21.0168622732
995,20.7972602726
996,20.4016465875
997,20.6697681071
998,19.6182857932
999,20.1757081635
1000,20.2534513215
